name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;970;0;993;3079;1814;3079;1791;0
header;96;57;96;94;1870;94;1870;57
A;1006;134;1006;157;1023;157;1023;134
B;1459;222;1459;246;1476;246;1476;222
A;1391;377;1391;383;1395;383;1395;377
A;1305;442;1305;447;1308;447;1308;442
A;1117;688;1117;694;1123;694;1123;688
B;1010;753;1010;777;1027;777;1027;753
A;983;817;983;821;995;821;995;817
B;981;899;981;918;996;918;996;899
A;1129;1001;1129;1011;1134;1011;1134;1001
B;1751;1021;1751;1045;1773;1045;1773;1021
A;1591;1078;1591;1079;1592;1079;1592;1078
C;1013;1376;1013;1400;1032;1400;1032;1376
A;1286;1391;1286;1394;1293;1394;1293;1391
A;1005;1424;1005;1431;1011;1431;1011;1424
A;1371;1424;1371;1428;1376;1428;1376;1424
A;1641;1924;1641;1927;1647;1927;1647;1924
A;1208;2014;1208;2020;1213;2020;1213;2014
A;1507;2048;1507;2052;1519;2052;1519;2048
D;1020;2071;1020;2095;1042;2095;1042;2071
A;1387;2116;1387;2122;1393;2122;1393;2116
A;1569;2526;1569;2526;1569;2526;1569;2526
B;1575;2535;1575;2559;1594;2559;1594;2535
A;1492;2589;1492;2593;1497;2593;1497;2589
A;1092;2971;1092;2974;1095;2974;1095;2971
