name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;793;0;862;3073;1454;3073;1223;0
header;95;156;95;191;1774;191;1774;156
A;924;226;924;250;943;250;943;226
A;1217;499;1217;504;1222;504;1222;499
A;1194;682;1194;696;1203;696;1203;682
A;838;726;838;741;850;741;850;726
A;1231;767;1231;772;1235;772;1235;767
A;903;811;903;817;907;817;907;811
D;1051;813;1051;828;1062;828;1062;813
B;923;901;923;925;940;925;940;901
A;1258;946;1258;950;1262;950;1262;946
A;1285;948;1285;963;1295;963;1295;948
A;1258;961;1258;966;1263;966;1263;961
A;893;1204;893;1230;906;1230;906;1204
B;1168;1390;1168;1410;1183;1410;1183;1390
C;912;1535;912;1558;931;1558;931;1535
D;908;2176;908;2199;928;2199;928;2176
B;1233;2633;1233;2653;1249;2653;1249;2633
A;1190;2711;1190;2713;1193;2713;1193;2711
A;994;2824;994;2830;998;2830;998;2824
